ID_ENTIDAD,ENTIDAD,TOTAL_CONSERVACION,PROGRAMA_CONSERVACION
9,CIUDAD DE MEXICO,129436333,Estudios y/o Proyectos 
9,CIUDAD DE MEXICO,109148272,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,49970811,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,85144638,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,24157274,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,72732022,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,23300706,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,89823407,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,6153455,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,47976165,Programa Asociación Público Privada de Conservación
9,CIUDAD DE MEXICO,28546973,Programa Asociación Público Privada de Conservación
1,AGUASCALIENTES,5529570,Reconstrucción
1,AGUASCALIENTES,4813722,Conservación Periódica
1,AGUASCALIENTES,1611081,Conservación Periódica
1,AGUASCALIENTES,25749999,Conservación Periódica
1,AGUASCALIENTES,29939999,Conservación Periódica
1,AGUASCALIENTES,29939831,Conservación Periódica
1,AGUASCALIENTES,32680351,Conservación Periódica
1,AGUASCALIENTES,11149998,Conservación Periódica
1,AGUASCALIENTES,54280,Conservación Periódica
1,AGUASCALIENTES,139735,Conservación Periódica
1,AGUASCALIENTES,757544,Conservación Periódica
1,AGUASCALIENTES,2424266,Conservación Periódica
1,AGUASCALIENTES,4574551,Conservación Periódica
1,AGUASCALIENTES,5228456,Conservación Periódica
1,AGUASCALIENTES,25285138,Conservación Rutinaria
1,AGUASCALIENTES,6583760,Conservación Rutinaria
1,AGUASCALIENTES,6243336,Conservación Rutinaria
1,AGUASCALIENTES,6098134,Conservación Rutinaria
1,AGUASCALIENTES,6359906,Conservación Rutinaria
1,AGUASCALIENTES,288194,Conservación Rutinaria
1,AGUASCALIENTES,740615,Conservación Rutinaria
1,AGUASCALIENTES,356408,Conservación Rutinaria
1,AGUASCALIENTES,72944,Conservación Rutinaria
1,AGUASCALIENTES,2406653,Conservación Rutinaria
1,AGUASCALIENTES,11937169,Señalamiento
1,AGUASCALIENTES,5114049,Señalamiento
1,AGUASCALIENTES,6823119,Señalamiento
1,AGUASCALIENTES,1610939,Señalamiento
1,AGUASCALIENTES,4594196,Señalamiento
1,AGUASCALIENTES,3732587,Conservación Rutinaria
1,AGUASCALIENTES,3964210,Otros Subprogramas
1,AGUASCALIENTES,2028913,Otros Subprogramas
2,BAJA CALIFORNIA,7783836,Reconstrucción
2,BAJA CALIFORNIA,11255261,Reconstrucción
2,BAJA CALIFORNIA,465702,Reconstrucción
2,BAJA CALIFORNIA,7996962,Conservación Periódica
2,BAJA CALIFORNIA,27430590,Conservación Periódica
2,BAJA CALIFORNIA,23664691,Conservación Periódica
2,BAJA CALIFORNIA,11486904,Conservación Periódica
2,BAJA CALIFORNIA,23363832,Conservación Periódica
2,BAJA CALIFORNIA,24958387,Conservación Periódica
2,BAJA CALIFORNIA,2265758,Conservación Periódica
2,BAJA CALIFORNIA,13788212,Conservación Periódica
2,BAJA CALIFORNIA,9194966,Conservación Periódica
2,BAJA CALIFORNIA,3480315,Conservación Periódica
2,BAJA CALIFORNIA,1496877,Conservación Periódica
2,BAJA CALIFORNIA,1357922,Conservación Periódica
2,BAJA CALIFORNIA,18538510,Conservación Periódica
2,BAJA CALIFORNIA,23024273,Conservación Periódica
2,BAJA CALIFORNIA,4727823,Conservación Periódica
2,BAJA CALIFORNIA,1611691,Conservación Periódica
2,BAJA CALIFORNIA,1134292,Conservación Periódica
2,BAJA CALIFORNIA,1424814,Conservación Periódica
2,BAJA CALIFORNIA,89118774,Conservación Rutinaria
2,BAJA CALIFORNIA,8099448,Conservación Rutinaria
2,BAJA CALIFORNIA,7069306,Conservación Rutinaria
2,BAJA CALIFORNIA,7287796,Conservación Rutinaria
2,BAJA CALIFORNIA,8308328,Conservación Rutinaria
2,BAJA CALIFORNIA,9292515,Conservación Rutinaria
2,BAJA CALIFORNIA,8034510,Conservación Rutinaria
